model,dataset,baseline,arrival_rate_rps,normalized_latency_mean,normalized_latency_p50,normalized_latency_p90,normalized_latency_p95,normalized_internal_latency_mean,normalized_internal_latency_p50,normalized_internal_latency_p90,normalized_internal_latency_p95,achieved_request_throughput_rps,achieved_output_throughput_tps,latency_from_arrival_mean_s,latency_internal_mean_s,input_tokens_mean,output_tokens_mean
opt-1.3b,sharegpt,AFD,0.35,4.668991120503499,4.483357161283493,6.454511569440364,6.508293839142873,3.82378250761674,3.966468319296837,4.899826589226723,5.129909935880166,0.17703084523491236,2.805938896973361,73.59088126420974,60.40847409963608,229.5,15.85
opt-1.3b,sharegpt,AFD,0.4,4.9215952132756895,4.80756738781929,6.532351872324943,6.589449961196919,4.166618389235093,4.321632191538811,5.427291116118432,5.505050763086631,0.17697858119217377,2.805110511895954,77.60831283330917,65.78498471975327,229.5,15.85
opt-1.3b,sharegpt,AFD,0.5,5.894711526769858,5.749707847833633,7.034212529659271,7.080662839401227,4.716230128017756,4.7349558994174,5.852509534358978,5.901211448071095,0.17744959099829033,2.8125760173229017,93.14828692674637,74.56747813224793,229.5,15.85
opt-1.3b,sharegpt,AFD,0.6,5.99148014961527,5.858216360211372,6.928741030395031,6.979738947290642,5.006262516287657,5.100520581007004,5.9386475622653965,6.073306943533512,0.18018735605052685,2.8559695934008507,94.69415309429169,79.11301485300064,229.5,15.85
opt-1.3b,sharegpt,AFD,0.8,6.279699753740659,6.1593837812542915,6.962249338626862,7.0208237705322425,5.420824265766602,5.5881457552313805,6.328883774578571,6.445782495576602,0.1793737223114559,2.8430734986365764,99.27207818031312,85.70659655332565,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.1,2.0158180511914767,1.8798334524035454,3.391877591609955,3.409323021769524,1.2584710710896896,1.292071871459484,1.6790444850921633,1.837468606978655,0.09865090656805023,1.563616869103596,32.12205842733383,20.044710409641265,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.15,1.9274715112378964,1.952371209859848,3.042479704320431,3.1211075127124785,1.5661268909390156,1.5695425122976303,2.20467112660408,2.2196177661418917,0.1320861612610859,2.0935656559882116,30.640750145912172,24.941615676879884,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.2,2.6471975082961414,2.5583273120797596,3.84161116629839,4.240275804698467,2.1415357390275367,2.13164172321558,2.799624529480934,2.824587204307318,0.15395555934947383,2.44019561568916,41.976200091838834,33.99047698974609,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.25,3.6453864969313146,3.602926082909107,5.709874339401723,6.039561276882887,2.943470441779265,3.0969835743308067,3.957642436027527,4.012089347839356,0.16097819473694763,2.55150438658062,57.95464911460876,46.75124326944351,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.3,4.417963938586987,4.394073471426964,6.156083589792252,6.313669075988808,3.532858271151781,3.725724957883358,4.506273949146271,4.770669195055961,0.16473234319862118,2.611007639698146,69.50887274742126,55.992814493179324,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.35,5.050421991944313,4.926003888249397,6.897235657274723,6.955963333696128,4.041934571759059,4.413900278508663,5.04617169121137,5.082092858679019,0.16658542111897798,2.640378924735801,79.61200964450836,63.910183787345886,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.4,5.308079443814663,5.237073123455048,6.9618745833635325,7.023980531039147,4.4001749766560705,4.707945272326469,5.388070199237421,5.569887651503086,0.1668335046527721,2.644311048746438,83.7127779364586,69.59756546020508,229.5,15.85
opt-1.3b,sharegpt,CPU-Attention,0.5,6.321898783686069,6.171916984021664,7.456531640887261,7.50782943734756,4.888148977722113,4.905907399952412,6.187563127279282,6.317198881621544,0.16741182747008457,2.65347746540084,99.90535020828247,77.23815560340881,229.5,15.85
